subj,condition,mediator,dv,asstcause,politics,religion,gender,age,race,race_TEXT,income
R_1dbm3WJ8QACKKCo,1,7,6,2,2,1,2,29,1,,1
R_3OpRtyM8yMJntFf,1,7,1,1,4,2,2,49,1,,1
R_Rgi4ZxfErTStLxL,1,4,4,4,1,1,1,28,1,,5
R_1nW81AZnblkbAQD,1,5,6,4,3,4,1,28,1,,3
R_3PHJMZ2HBpkdpbw,1,1,1,1,1,1,2,45,1,,1
R_3ozIK2pf0Lxd9lQ,1,7,7,1,5,2,1,40,1,,1
R_9tbSvnpMfwtj78Z,1,7,7,1,6,1,1,31,1,,2
R_2z8UjtNIEEDmIPu,1,7,6,1,2,1,2,28,5,Black and White,1
R_1d04zgE3pFvAYfn,1,3,7,3,3,5,2,35,1,,1
R_1fa3qFjnywuxKvw,1,6,7,1,2,1,1,46,1,,1
R_2urnM9goklIMj8s,1,5,1,3,2,1,2,31,1,,1
R_1eLB54BTmn5V4Pg,1,2,3,4,5,1,1,21,1,,2
R_T0E9Swp7OYAgVxv,1,6,6,2,4,1,1,18,1,,3
R_d7jYvzRuoZG0Ir7,1,7,6,1,4,1,1,33,1,,3
R_3LXNTo5gZqRqYVS,1,6,7,2,2,2,2,24,1,,4
R_1FafB8l3i0GkTXt,1,5,2,5,2,1,2,27,1,,3
R_324mxVRRRNYctPq,1,7,7,1,2,1,2,22,2,,1
R_1CqYredwqFCberW,1,5,3,2,4,5,1,22,1,,1
R_39lv0dQibFiqksV,1,7,7,1,5,1,2,20,1,,1
R_1gopcqwskm9ngTt,1,5,6,3,5,1,1,21,1,,5
R_bmu6sFsaeVD4DsJ,1,1,3,6,4,1,2,29,1,,1
R_3Ed81JHxF04syOj,1,7,7,1,2,1,1,43,1,,4
R_2XnUBCej1Fc7LCX,1,5,5,3,5,1,1,30,1,,3
R_29hlWBblx2lG1qN,1,6,6,1,2,1,1,25,1,,2
R_2Pj4ZC5k3U0UdGk,1,2,5,3,5,4,1,29,1,,2
R_cGV004AX4SN9E8Z,1,6,6,1,4,5,1,25,1,,2
R_6Wq2G6CZr96TpBP,1,2,3,5,2,2,1,35,4,,2
R_1oHMdERaJ8Q4qsT,1,6,5,4,2,5,2,21,1,,3
R_2OJcjW5K1iKvQeL,1,7,7,1,1,1,2,25,1,,2
R_73ClBlwtcHFtUI5,1,7,7,1,4,1,2,30,1,,2
R_2dA4EdE4uFxD4yh,1,3,6,2,4,2,2,24,1,,2
R_xACTGADmOO9yHsd,1,4,4,3,3,1,1,26,1,,2
R_2y0ZHlIgcYLGI1k,1,7,7,1,3,1,1,24,1,,3
R_31zpXWSrAOJseF5,1,7,6,3,3,2,2,23,1,,4
R_cXTWxMIMdieEjL7,1,7,6,1,1,1,2,23,1,,1
R_1r2Nf7hOYGpJp3A,1,2,7,1,3,3,2,25,1,,2
R_3QDAAsP6Og4Cufk,1,6,6,5,3,5,2,31,1,,3
R_3MhYQA5yVuVCSBW,1,7,1,1,4,1,2,51,2,,2
R_3HhKtFAoBkfkQwu,1,5,7,1,1,5,2,58,2,,1
R_1IACQv6wVRS3Vvu,1,6,6,2,3,3,1,27,1,,3
R_6mUz3CzFwgTzcxX,1,7,7,2,3,1,1,37,1,,5
R_1ONrmKb7XBY5djb,1,6,5,5,4,2,1,23,2,,5
R_2zcqw9ikgUYEkEd,1,7,6,1,1,1,2,39,1,,3
R_2WNzErYfwg3KS0q,1,6,7,2,3,2,1,27,1,,3
R_2qyJ2c9L1w4v9Nf,1,5,4,3,4,1,2,27,1,,3
R_2AEEzGFHsnA1IRD,1,5,4,2,4,1,1,24,1,,2
R_3dRJWowT2demXIv,1,6,4,3,6,4,1,37,1,,1
R_3Jk3KUqh2AUjpwG,1,3,4,5,2,1,1,20,1,,4
R_27r6e0tllklPhlP,1,5,5,2,4,4,1,21,1,,6
R_25ZKyHgTNdjLRA0,1,7,7,1,2,1,1,27,1,,1
R_1zFO3w4ksj5YD6x,1,5,4,2,2,1,2,22,1,,2
R_5dK69tgahK1fmst,1,1,6,5,2,1,1,23,1,,3
R_26l0QjEpLh55fYT,1,7,5,1,2,1,2,26,1,,1
R_sLkZ4K20gKX9M3v,1,7,5,1,1,1,1,27,1,,1
R_1EcbpyCrfJYBEAd,1,7,7,1,2,1,1,29,1,,4
R_etEkkXv6QSxcfWt,1,4,4,4,3,1,1,32,1,,2
R_2w5BPTaiCcR0oDN,1,6,5,1,1,3,2,33,1,,4
R_28UPaQwHITuXjN5,1,3,4,6,5,5,2,53,1,,4
R_3peYnujy9McS3R8,1,7,4,7,1,1,2,38,1,,3
R_etIlTnGvl6aL6W9,1,7,1,2,3,1,2,28,5,indian,1
R_9XOw97Cgw9dJ0ZP,1,7,7,1,5,5,1,31,1,,2
R_21cYderurtZ6Iak,1,1,7,2,4,1,1,21,1,,2
R_5j59b3SrOOdMs3r,1,1,7,2,2,,1,46,1,,1
R_24Db4EKaMrVWDbo,1,5,7,1,5,1,1,20,2,,3
R_V3xRsIBphQQLwrL,1,7,7,1,2,1,1,45,1,,2
R_122U8IKnTYDKkG7,1,7,7,1,6,6,1,33,1,,7
R_yJasw7KzPzPIiSR,1,3,7,1,3,3,1,23,1,,2
R_2cuejUWEaj9fEvP,1,7,7,1,4,2,1,,1,,1
R_9U1dzgVsUcQcEq9,1,7,7,1,2,1,2,26,1,,4
R_2EcrSBha0um4awk,1,3,6,3,3,1,1,24,4,,3
R_pFtwGjz0KGu1La1,1,6,6,1,3,1,1,23,1,,3
R_3I3qZWGES9GVzU7,1,6,7,1,2,1,2,64,1,,4
R_1In0Bq3SxiwXm8t,1,5,5,3,2,2,1,26,4,,3
R_3hA2fHzFiuiyrXA,1,1,5,1,4,1,,,1,,4
R_3qZQspTZAo25M8Y,1,6,5,4,3,2,1,25,1,,1
R_PwJ0F0aFpBt1x3r,1,6,6,2,1,1,1,26,1,,1
R_3fiTXb3noHtAzhY,1,7,1,1,1,1,2,24,1,,2
R_3fGW8jePXJWPlRm,1,4,1,2,1,1,2,30,1,,5
R_2B3b1zNoqtMANKv,1,7,7,1,4,4,1,29,1,,4
R_2PjSP6NwRBhVdcu,1,2,5,6,3,2,1,22,1,,1
R_27Buh0TOGTH8jlQ,1,2,3,3,5,1,1,30,1,,2
R_2VaKP2zZ24inIAs,1,2,2,2,4,2,1,22,1,,1
R_1Clrx7MfPyjU5MT,1,7,6,1,4,2,1,30,1,,4
R_2PpaO4JMIwcT9P7,1,7,6,1,2,1,2,24,3,,2
R_RDKVKgtmL6ILXcB,1,4,2,6,4,4,1,19,1,,6
R_308A9MVW5XPu7YZ,1,4,4,3,2,3,2,23,2,,2
R_1KvDtXTIE8wvw1y,1,6,3,1,2,1,1,27,1,,3
R_etT7k1echBWl4Q1,1,2,5,2,3,1,1,35,1,,1
R_ApSn4VPKqkMMQwN,1,4,5,3,3,2,1,23,1,,2
R_1onZpFVedoy9VP5,1,4,5,2,3,5,2,56,1,,5
R_2E7bbWZ9olrFiOQ,1,6,4,2,1,1,2,26,1,,1
R_1jBPbTgUhyDXenH,1,5,7,3,2,1,1,60,1,,1
R_7WnA7WFpNd9V55z,1,3,5,1,1,1,2,29,1,,5
R_1C4r2Asr9a9NHLN,1,7,6,1,6,1,1,63,1,,2
R_2zu3JHwY5qfHmVG,1,7,5,2,2,4,2,29,1,,2
R_28YsvQIqHi6x2PW,1,3,5,4,3,4,2,22,1,,1
R_3O6aNzMGWqFf8zv,1,7,2,2,2,1,2,21,4,,2
R_2dWm1KoqHupDc8B,1,5,3,2,3,1,1,52,1,,3
R_1ds4aCF3V9lrWnR,1,6,5,3,5,6,2,30,1,,3
R_1OCWtDZmeFSkRCY,1,6,4,6,4,1,1,23,1,,4
R_OH8JTP0gKideTAd,1,6,6,2,3,1,1,32,1,,1
R_2tMxr3MDWGnLzJg,1,5,7,3,1,1,1,32,3,,1
R_RQcdEVZGROneKDn,1,1,7,1,1,1,2,29,3,,2
R_2q8hhaIKRKgEH9V,1,7,7,1,6,2,2,37,1,,2
R_22D3auSAnMJhHVQ,1,6,6,4,4,1,2,35,1,,1
R_30jIPyMfa0yOIHc,1,3,4,2,2,1,1,26,1,,2
R_BqQWLCr92tS7Wo1,1,3,3,3,1,1,1,26,1,,1
R_1Eht8vxJ3Y7hDFx,1,5,5,5,2,1,2,32,1,,3
R_1hGQKBrnoOA5cz7,1,7,7,1,4,2,1,39,1,,2
R_2t9VlzrI7QK83rv,1,7,6,2,4,6,1,25,1,,2
R_3j037cZGZNsVM4g,1,4,6,4,3,2,1,37,1,,1
R_2TsFHsHVIthcnac,1,4,5,4,2,2,2,24,1,,3
R_2TFeswBssLdjNcK,1,4,5,5,5,2,1,31,1,,3
R_1oildrfw8ftj5R9,1,7,7,1,2,1,2,30,4,,2
R_2Pik4CHx5nOSRNf,1,6,7,3,1,3,2,32,1,,5
R_1NmrDH5skgyyC8T,1,3,2,2,3,1,2,22,1,,1
R_1FTXO7IEhuxLjsl,1,7,5,1,3,3,1,30,1,,2
R_07HsAn5YLB1BAnn,1,5,2,3,4,5,1,20,1,,1
R_CjG44G5Yk5Ik7DP,1,6,2,4,1,2,2,27,2,,2
R_3huNjMl9LSdatI6,1,3,5,3,4,2,2,27,3,,3
R_0J6sdKAut8qDMbL,1,4,2,6,4,4,1,27,1,,3
R_1guQdqDPQMS9tTL,1,5,6,3,4,5,1,31,1,,1
R_1jB2uuihMQamgU7,1,5,5,3,3,1,2,36,4,,1
R_3nA7Gog5jQM9BTD,1,2,5,1,3,1,2,26,1,,2
R_1Ed28aaKJbWBKU6,1,6,4,1,2,5,1,21,1,,1
R_3Hhnp6fCRWPjpLm,1,3,6,1,4,5,2,27,1,,4
R_bpfol7WkcjP1Agt,1,5,4,5,4,3,1,39,1,,3
R_2Vfq7pph70jSRZq,1,5,6,3,4,1,1,30,1,,1
R_2YmkmTXsGlp5eMq,1,5,3,1,1,1,2,27,1,,1
R_oYxpwGbsCaj0SsN,1,6,2,2,3,2,1,22,1,,2
R_3pnYYsLyYIWozdV,1,4,2,2,2,1,2,24,1,,2
R_piqyq4wxQUDpBqV,1,7,7,1,1,2,2,29,1,,2
R_3g8egJabvddeki2,1,7,5,1,1,1,1,27,1,,2
R_3Rf5NWWOfNXPpMY,1,6,6,2,3,5,1,32,1,,1
R_XTXb2pE0C269F9n,1,7,2,2,2,1,2,19,1,,2
R_1Q6qs1rkudh0XMh,1,7,7,2,1,1,2,33,1,,1
R_3kBzD7lp77xezko,1,2,5,2,3,6,2,59,1,,1
R_21nBZ3qSoue8I7y,1,5,5,5,2,3,2,21,1,,2
R_3FOPeDyqaofyx4Z,1,6,6,2,5,4,1,31,1,,3
R_OqAYwHnLrFx43FT,1,7,7,1,5,4,2,29,1,,6
R_0uejhN6TVCYV1Gp,1,7,6,1,1,1,1,24,1,,1
R_29tSAOlgIVqUvRo,1,7,6,2,3,6,2,25,2,,4
R_8tSyVFxdjSzEsi5,1,7,7,1,1,1,2,23,1,,1
R_2QFCMd7YAuNroLh,1,6,2,6,2,1,1,25,1,,1
R_C4C7KAr6SbX5qdb,1,7,7,2,3,4,2,26,2,,2
R_3JyH7dzYY28ibui,1,2,6,2,4,4,1,23,4,,1
R_2bVRZ0j5iGVIH6G,1,7,7,1,2,1,2,31,1,,1
R_5AyqBpom9Lnr2SJ,1,5,4,4,2,1,1,35,1,,2
R_3IPGRaPplXRKJmj,1,2,4,4,2,5,1,31,4,,6
R_2CKtBvjFxlqDlbU,1,7,7,1,1,1,2,55,1,,4
R_bNj1v3Ol9Rdh03P,1,4,4,4,,,1,22,1,,2
R_3luL7jyqSEnLzgt,1,7,7,1,3,4,1,55,2,,2
R_5zjWWMo7P0Eo0Cd,1,4,4,1,1,1,1,26,1,,1
R_1QGzl4wlT8YtG5Y,1,7,7,1,3,1,1,25,1,,2
R_3Rgwq7Bn08tvtIO,1,4,5,2,6,2,1,44,1,,2
R_zVemd9BONLGcY2R,1,1,1,7,1,6,1,31,1,,1
R_O1Aktqkz1I7pOU1,1,1,7,7,2,1,1,27,3,,4
R_enzAWRzbslKcpHj,1,7,1,5,4,1,2,31,1,,1
R_3p4sWYTnv0c2b9O,1,7,7,2,6,4,1,37,1,,4
R_22X11MDQUNBnZ3c,1,1,2,6,3,3,1,25,1,,3
R_1fcLgdi0J7nXqFu,1,1,7,6,3,1,2,53,1,,2
R_A6dh7m8vCaclDbz,1,3,5,5,2,1,1,32,1,,2
R_3Enc4PEKNDvhXYM,1,7,7,1,3,4,1,51,4,,1
R_dj60VoG6CWIGgud,1,5,6,2,4,5,1,26,1,,3
R_T1Ihyi0pXCbrYRz,1,7,7,1,1,1,2,30,1,,1
R_2vYYXdkW5wVXlEC,1,1,6,2,2,5,2,27,1,,1
R_1ilBMmRk8upIY6s,1,7,7,1,3,5,2,59,1,,2
R_1IhH5SgJOx4NgI5,1,5,6,6,3,1,1,33,1,,3
R_p6iqAVR4WFPfY53,1,7,6,1,5,4,1,34,1,,3
R_6eSi5CWbZgopI8F,1,5,7,4,2,1,1,34,4,,2
R_2EuwVbgOZRzEd5M,1,7,1,1,3,1,1,25,1,,1
R_21vxLCnxhiEgyNP,1,3,5,4,3,2,1,36,4,,4
R_AzLRtqCLYCKcTcZ,1,7,7,1,2,2,2,22,1,,1
R_3OcTNUvnbYpDuJD,1,4,6,2,5,2,1,19,1,,3
R_7OsnOrY7xSyLoGd,1,7,7,1,2,1,1,24,4,,6
R_1E6V1bMayyMo6zN,1,7,6,2,2,1,1,24,1,,1
R_1IaZ1vc3MRGWi1S,1,5,5,3,3,4,1,30,1,,2
R_3MPOrfhlVe4h3Tc,1,5,5,5,2,1,1,26,1,,3
R_0J0q2PVbZRlWSZn,1,7,7,1,2,1,2,39,3,,1
R_2RUG9JTtHEk6zej,1,2,6,1,2,1,1,30,5,White/japanese,1
R_1BPEaA9jXjJR579,1,7,5,2,1,1,1,32,1,,4
R_333yIavUrfW5Et3,1,6,6,6,2,2,1,29,1,,2
R_3e8BVsGO13VXJH8,1,6,6,3,2,1,1,20,1,,1
R_1jiEhOTJ5LWRuEp,1,1,7,7,6,5,1,65,1,,2
R_YbPcwJDk48gZYWJ,1,6,6,1,3,1,1,27,4,,2
R_4Ue3pmj1pzS9YVv,1,6,7,5,5,5,2,32,1,,4
R_1JF5AHuVQfaabkl,1,4,7,7,1,1,1,33,1,,2
R_5hdMwew2Mqrqf1D,1,4,4,4,3,3,1,23,4,,3
R_31iyHHKQaEDnOs7,1,5,4,3,4,3,1,35,3,,2
R_SJXloK9Jl1JbRT3,1,5,6,1,3,1,1,26,1,,2
R_2rxxtCFGzM1npOe,1,3,5,3,2,1,2,31,1,,2
R_2ZQV2RccNxkmvJo,1,6,6,3,2,1,1,25,1,,3
R_1DzHG8iIXjmRdI4,1,5,6,2,5,5,2,22,1,,1
R_3MbVc3XtG2TLFnH,1,5,5,3,3,3,1,25,4,,2
R_2Swan6tR9jeRnuz,1,7,6,1,3,3,2,39,1,,4
R_3h9gx6tvnFSn5Rc,1,5,7,3,2,1,2,23,1,,2
R_1ODLnN35HuVggVF,1,3,6,2,5,5,2,37,1,,5
R_1UsliSkoNofnj6t,1,2,5,2,4,1,1,23,1,,1
R_2b1zcbkONNIZCoc,1,4,6,2,4,1,1,40,1,,2
