subj,condition,mediator,dv,asstcause,politics,religion,gender,age,race,race_TEXT,income
R_3l0k8H9Ff3UYbeN,2,3,5,1,3,1,1,33,4,,4
R_Bxg6rkxio88NBUB,2,5,6,2,2,1,2,36,1,,2
R_2Vx5golcwnPhm7L,2,3,5,4,3,2,2,25,3,,5
R_30qydVI2xxxzoXu,2,2,6,3,3,2,1,20,1,,4
R_3CQ7Ta670xxwmBG,2,6,2,6,3,1,2,24,1,,2
R_3PMIykDVh0jHPhY,2,5,6,1,2,1,1,31,4,,2
R_11WJXuXgFjqyl9n,2,2,6,1,3,2,2,22,5,all (mixed),3
R_32X7stwv6DbOZ8v,2,3,6,2,2,1,1,29,1,,5
R_27JMjY5CaDVmoYB,2,7,3,1,5,1,1,24,1,,2
R_2EF3T5IaOxh42CO,2,5,2,7,4,1,1,32,1,,2
R_3fNtyD9Imwr74iV,2,1,7,1,4,1,1,42,1,,5
R_31hdChud9M2iRV6,2,2,2,2,2,4,2,64,1,,4
R_s5cEqztxEFY7NPX,2,1,7,1,3,1,1,27,3,,2
R_UWHJYO2NAqoiyLD,2,4,4,6,2,5,2,25,2,,6
R_2fjwdcIpZ2oq05v,2,3,7,1,3,5,1,28,1,,3
R_12u1ILaHmAwvHxp,2,3,4,3,1,1,2,21,4,,2
R_1oClDB9HjWTvQmX,2,5,4,1,2,5,1,29,1,,1
R_d7jxj2ben3ubhkZ,2,2,6,4,3,1,2,32,1,,2
R_2s4IjkyKK1zJhZx,2,4,4,1,3,1,2,29,5,White/Hispanic,2
R_daJyDrMQ3YRbfZr,2,6,3,5,2,1,1,24,1,,2
R_cVbwNx71YFbj7Md,2,7,1,1,1,1,2,36,1,,1
R_3NXmSbrnRvlzafv,2,4,6,2,3,1,1,19,1,,3
R_TmZg3h2qxIguuVH,2,1,7,2,1,1,1,26,5,mixed,2
R_31WUzw8ca8AEjI0,2,4,6,6,3,1,1,24,1,,4
R_3qrqOBaZPVmWq8O,2,2,7,1,4,4,1,20,2,,1
R_1Fbwp8jeqk7s3NY,2,7,4,1,1,1,2,51,1,,2
R_1IKRUo0WgoZsyqI,2,5,4,7,4,1,1,23,4,,5
R_AujI7ydqyqkQHnz,2,1,4,4,3,4,2,32,1,,2
R_A7kT7UJBuWXZoOZ,2,4,4,2,2,1,1,35,1,,5
R_3KBfVSZBEse7Irv,2,6,7,1,5,4,2,67,1,,1
R_XtiD2cXmbrFSQ4V,2,1,7,1,4,1,1,56,1,,3
R_2QK9r9bLsd82WCN,2,2,5,3,3,1,2,21,1,,1
R_e2weaXkGroTziJf,2,1,7,1,3,6,2,37,2,,3
R_2fv56l2351ZazOw,2,2,5,1,1,2,1,28,1,,5
R_2tLpQvcsKLhaVzW,2,1,6,1,5,5,2,44,1,,4
R_b8lsYVYdMh4YSUp,2,1,5,1,4,6,1,22,1,,1
R_0GvopnXhVrh9Lup,2,5,3,4,2,1,1,21,3,,4
R_0CfxrHHskzY5v2h,2,1,6,2,3,1,2,28,1,,4
R_PLOMDOL1xbRJWJH,2,4,4,4,4,1,1,19,1,,3
R_1f8XmsRFXAzaYBM,2,2,7,1,3,5,2,47,2,,2
R_cUxrqp72BoYQerP,2,7,5,7,3,6,2,24,2,,1
R_2xEOe13syGAMUL9,2,1,7,1,3,5,1,30,1,,1
R_1P5VV72HsFrwZMi,2,1,7,1,2,1,2,35,1,,3
R_3kiwDpeDve5HVuu,2,2,5,2,2,2,1,29,1,,2
R_3nPhtHa4U3sKFbl,2,1,7,2,3,1,1,19,1,,1
R_1gec7MF2OuhnA5i,2,2,6,4,2,3,1,19,3,,5
R_bjXnSKhky50NAul,2,7,7,7,4,5,2,59,1,,2
R_XGKWBqquLCzOoKt,2,2,7,6,2,1,1,34,4,,4
R_DTTBWK975C3rr21,2,3,6,2,3,1,1,33,1,,1
R_3ndS5NDtcMIOF1k,2,2,7,1,1,1,2,27,1,,4
R_3JmelmHsRTpI31u,2,6,2,2,2,1,1,24,1,,2
R_3J8IYQPjPOOEAS9,2,2,3,7,2,2,2,49,1,,2
R_1FDqdcfEQdInKK7,2,2,6,2,3,3,1,32,1,,1
R_88MhUU5XoemOiPf,2,1,4,4,2,1,1,24,1,,5
R_DvCJvjC9Nk2F0BP,2,1,7,1,3,6,1,25,1,,3
R_2uwf78IG39YtH12,2,6,3,1,2,1,2,28,4,,6
R_DkIIgD2S0kSB3uV,2,2,5,3,3,2,1,28,1,,3
R_3qs7klg6DZu2Joh,2,1,7,1,5,5,1,31,1,,1
R_2a8GsOsAWVOtIW7,2,3,5,2,3,4,1,27,4,,3
R_3n356lueAmNgsje,2,2,5,2,2,5,2,28,2,,2
R_1JPaFl5FJHalXDh,2,6,2,5,1,1,1,22,1,,1
R_1DOlvBAApGUiUSJ,2,2,6,1,6,3,1,32,1,,2
R_1pDWKLYt0rqJOjd,2,2,5,2,4,5,1,26,4,,4
R_5alWdfy8WgIneal,2,5,6,4,5,4,2,29,1,,3
R_31Yt5VUCBXlC5T6,2,1,7,1,5,2,1,24,1,,2
R_2QJNxx9tQjBo79U,2,3,3,2,2,1,2,30,1,,1
R_0wECYMtwztUw5Uh,2,5,6,1,4,5,2,26,4,,3
R_1Hywow8GjOaIh0Z,2,1,7,1,2,1,2,25,1,,2
R_9BSN8dtSeeDTUNb,2,3,4,4,1,1,1,37,1,,3
R_1CmDdy9k3PYlWBm,2,5,6,1,5,1,1,28,1,,3
R_3gMaqRrftazeTJM,2,7,7,1,4,1,2,48,1,,2
R_1N5fuQYCdp5jBPq,2,3,6,1,2,2,1,27,1,,2
R_25TOCNkGc1ISf1a,2,3,1,6,2,1,1,28,1,,2
R_24i9aXT0NHMtt2g,2,1,7,2,1,1,2,22,2,,4
R_1GDEvqC2aOwrotX,2,2,6,2,5,6,1,33,1,,3
R_1f9ljuOW75IxIuZ,2,1,6,3,2,1,1,19,1,,5
R_2TZ6GefGD3naS03,2,1,2,4,3,2,1,33,1,,2
R_esUtTUCp4FA9ECl,2,2,6,2,2,1,1,31,1,,2
R_2fvpKr5QQNmuZq5,2,1,5,2,1,6,1,49,1,,1
R_1M4icOZlwjWRqdx,2,2,4,2,3,3,2,32,1,,2
R_ut6xsKJSpawnkYx,2,5,5,4,3,3,1,22,3,,2
R_2QVZviuCSvWcKNM,2,3,6,2,2,1,1,29,1,,3
R_214BAGEU1qTdhSJ,2,3,6,1,3,1,1,30,4,,1
R_2t2HQp599rZwaEV,2,2,7,1,3,3,2,,1,,1
R_2wACQL7byv23JY8,2,6,5,2,3,1,1,25,1,,5
R_25WNfClvDfwgGB7,2,3,6,2,1,1,1,29,1,,2
R_1go1jrNuofEu8Bh,2,7,7,1,4,6,2,22,1,,2
R_eba32Ma6ELHbRVD,2,3,5,2,3,2,2,26,4,,2
R_ey8eu2EvAkR4DyV,2,3,7,1,5,5,1,26,1,,5
R_2BhuiZSJGkjG80d,2,1,6,3,2,1,1,37,1,,2
R_wRXYKY90R9AybrX,2,6,4,5,3,1,1,21,1,,2
R_ymO99aKlZ6h6AbD,2,2,5,4,2,4,2,32,1,,3
R_1oHIVe3ayoIb1eI,2,2,6,2,3,5,1,21,4,,2
R_qPBuUhclC9lif1D,2,4,4,4,2,1,1,26,1,,2
R_x5YMNtfOeLJ76AV,2,3,5,3,3,1,1,26,1,,3
R_eDkeLO2CXzL0fbb,2,5,4,5,4,1,1,27,1,,3
R_1Ojk7E9Sz99eOAI,2,1,5,3,1,1,2,36,1,,1
R_1LjSBuzTuCT4WSh,2,2,6,1,3,4,2,50,1,,4
R_yDPHJx3sFoOvcaZ,2,1,7,1,3,2,1,30,4,,2
R_25AQwwPKR6dis3D,2,1,5,1,2,2,1,42,1,,1
R_1luSomkU01lTHvo,2,2,6,2,2,1,1,20,1,,2
R_OMXo4FX3IIGSC77,2,2,6,2,4,1,1,39,1,,1
R_yqnCZyepVh1mbNT,2,6,3,4,3,5,2,44,1,,3
R_2WMyTQtPh04VRVe,2,2,7,1,2,3,2,29,1,,2
R_1lAXBz3n97KHqou,2,1,7,2,4,5,1,25,1,,3
R_2WJxsziuXEAB7qA,2,2,3,2,3,3,1,27,2,,2
R_7U5LUGM8t3Bc65z,2,6,2,1,2,2,1,20,4,,2
R_8pOK73aqsrSkh2R,2,6,6,5,2,2,1,19,5,Mixed Race,2
R_12QmhGcyiyr4G44,2,2,4,2,2,1,2,31,3,,2
R_3lQZJgGQYlChfXW,2,4,4,2,2,1,1,30,1,,2
R_BS3aiRhuH2ACJcl,2,2,6,1,1,1,2,49,1,,2
R_6SducZ02NdsFjkp,2,4,3,3,4,3,1,26,1,,1
R_2TC6kd60ZCsHG8S,2,2,6,1,1,1,2,24,5,biracial,2
R_10oaXDwynmHrcjJ,2,5,4,4,3,4,1,31,4,,3
R_1mWw4odE4E8okD3,2,4,5,2,2,5,1,44,2,,1
R_2scmylimH4pdSpC,2,6,7,2,2,1,2,31,1,,2
R_UG9DLpJdwDiJaw1,2,7,6,1,6,4,1,47,2,,3
R_3k0LXe0GcajU1Lg,2,1,7,1,3,1,1,22,1,,7
R_3dQyi2vEgUe6IYp,2,3,5,3,4,2,1,39,1,,3
R_2To8xsd41qbrwSp,2,7,4,4,1,1,1,35,3,,3
R_2DZx2h1iZS8KyoF,2,6,4,1,2,1,2,25,3,,1
R_1JWP1Davv0kRTcP,2,4,5,1,5,5,1,22,1,,2
R_wOa0uSRvvUCmFYB,2,5,2,3,4,1,1,20,1,,3
R_SVhS1lSYKY2e6ad,2,2,3,1,3,1,2,23,1,,2
R_4UcWGZPQud4O2zL,2,2,7,3,3,2,2,30,1,,1
R_tGIcx1oT5bq4rZL,2,2,6,1,4,4,1,38,1,,3
R_OIS5M1tspFcPV8B,2,5,4,3,4,4,1,31,1,,4
R_1JUTHp6nYL3SSF2,2,1,4,2,2,5,1,25,1,,1
R_2z5Yt4MiGu0AIjU,2,3,5,5,4,5,1,20,4,,3
R_25AaYN4WaL7Sw3k,2,4,4,4,2,1,1,36,1,,1
R_1erAFXRFaiRev9y,2,1,7,1,3,1,2,40,2,,2
R_1j6SiEpZ0IcPd5I,2,2,6,5,3,1,1,20,4,,4
R_3Pv3MmLnjMDgkPu,2,2,5,4,2,1,1,25,1,,1
R_3O7xHN5lG1ccFdV,2,3,5,3,4,5,1,29,4,,3
R_3PFUUN7zQ5zf5Eg,2,2,5,4,4,5,1,25,1,,1
R_1mJi6Ij4cYonDE9,2,1,5,1,3,1,1,34,1,,1
R_2SrdoCGagdRhLg3,2,5,2,2,2,5,2,46,2,,2
R_UlLTit6GzXsVuH7,2,1,7,1,2,1,2,23,1,,2
R_3qmNVkhSPw5d9MF,2,2,6,1,2,2,2,20,2,,2
R_2QDmlFVdr1SSqpC,2,3,5,2,3,2,2,26,4,,1
R_9piu1zvm80kxzuV,2,5,5,2,4,1,1,18,2,,3
R_2X1cFP1x4mzjYL4,2,3,5,3,3,1,1,26,1,,6
R_wSR1gVbxuZl39XX,2,5,2,2,3,3,1,19,2,,1
R_2cp7I6oCxsXqcfQ,2,3,3,4,2,1,1,24,1,,1
R_80QDtfLtXypN3y5,2,3,5,1,6,5,2,70,1,,1
R_24MFgSG4kPso1jd,2,6,5,2,2,5,1,34,1,,3
R_2SqyLm0MrFJt8KR,2,6,6,1,3,2,1,43,1,,3
R_0V7lteGuLfQ34y1,2,2,7,1,2,3,2,41,1,,4
R_s6WOp98bK9eacrn,2,2,6,2,1,1,1,26,1,,3
R_3oyAzDGkwsDqZ7G,2,5,5,4,3,5,1,29,1,,1
R_3P6IGM6STadCChq,2,5,4,5,2,1,2,20,5,Black/White,1
R_eLqdoyBkmyxulHT,2,5,5,4,2,2,2,33,2,,3
R_1gSy9iBtrmsrGUm,2,5,5,3,2,1,2,25,1,,1
R_21GJKysGUnzqGNb,2,4,4,1,1,1,1,24,1,,4
R_dbybHaCuwcFWnYt,2,5,4,5,2,1,1,23,1,,3
R_3oI2fJFNKzYt9GM,2,3,6,2,3,2,1,43,1,,2
R_22xmGUkU4gNn4BL,2,3,5,2,4,5,1,53,1,,1
R_325SqNC9o1YukuZ,2,4,4,4,3,1,1,23,4,,2
R_2dYJWNOKaZvE2CA,2,2,4,1,3,1,2,25,1,,5
R_3OdD5v5nehdUdYQ,2,3,5,1,3,2,1,29,2,,2
R_2w5NCY6qzREUnnq,2,3,7,6,1,5,1,22,1,,3
R_3mgiWRuspHLKCbJ,2,3,6,2,2,1,1,30,1,,1
R_2tsMvl4zMq50Qtm,2,2,5,2,4,1,1,,1,,3
R_1ZmCtcJS966hEXj,2,1,3,1,5,1,1,33,1,,2
R_1rjqpyAQTQR94k2,2,1,6,4,3,5,1,25,4,,5
R_3OlG7900HRnPezS,2,7,7,1,6,4,1,31,1,,2
R_dgIfiTtLa26fUEt,2,5,5,3,4,4,1,32,1,,2
R_2eW6tnpotglqubL,2,5,3,6,4,4,2,33,1,,4
R_2fD2fdObqSKGyFu,2,2,5,2,2,4,2,32,5,Multiracial,3
R_1im4L5PMMUp9b3B,2,4,5,3,3,6,1,36,1,,1
R_2ckE5QHtKI7rqKi,2,2,5,2,2,1,1,34,1,,2
R_3ISMBxEKf1AwCjV,2,1,3,1,6,5,2,62,1,,
R_3Ld2h9Qm6PSDqDo,2,5,5,4,3,3,1,27,1,,2
R_1iqxHJOlra2G2iM,2,6,3,1,1,1,1,22,3,,1
R_1rfeFBYEY9dYg7S,2,1,3,5,2,3,1,25,1,,3
R_1OE1BqWbNjOyFVe,2,3,6,3,2,3,1,58,1,,1
R_enXA1Hf2PqUXdVH,2,1,6,1,1,1,2,25,4,,6
R_3JkhGNTiCYrmT9f,2,5,4,3,2,1,2,38,5,mixed (white and black),3
R_3dDNMctBUCjG1qW,2,3,4,5,2,1,2,30,1,,2
R_1rwV8yUHE3INK21,2,2,5,2,2,3,2,19,1,,2
R_1j83elOfE8W8MCk,2,1,7,1,3,2,1,29,1,,1
R_2YstkfhSV4XgQOB,2,5,5,3,4,3,1,37,1,,4
R_3lALKcrMAGRC6BQ,2,2,7,2,3,5,2,26,2,,1
R_2zNEffUfl6wTQYL,2,5,2,3,3,1,1,21,4,,3
R_Y93gPJvDYmud4oF,2,4,5,2,6,6,2,51,1,,5
R_1gFS8GIWwRrkszH,2,3,6,1,2,4,2,31,1,,1
R_2WIvoYYob60OUOx,2,2,6,2,4,4,1,38,1,,3
R_3qedk35Csi8zEDh,2,1,7,1,2,1,1,32,1,,3
R_3iwDpFoX6eZ1dbi,2,1,6,2,1,1,1,25,1,,4
R_3imp6ROz0TnXFXt,2,5,5,2,4,3,2,21,2,,3
R_1OPSdR9GAXGoTpP,2,3,6,1,6,6,1,51,1,,2
R_1pMtiheMQ2Xc02G,2,3,3,5,3,5,1,23,1,,1
R_RJtf3Ib1bB9VPgJ,2,3,5,3,4,4,2,30,1,,5
R_C8LtbAesqABpIkN,2,1,1,2,3,5,2,35,2,,2
R_2tFLzqoGJBf0Mcb,2,2,6,3,2,5,1,32,1,,5
R_3hasLPhNX4Bvzxk,2,1,7,3,2,1,1,27,2,,4
R_2RP6VDZBVnZaxGX,2,2,5,2,5,5,1,25,1,,2
R_Zq30zM2l4bzHznH,2,1,7,1,6,1,2,51,1,,2
R_1ffwfldqVTeVoUR,2,6,5,1,4,2,1,57,1,,2
R_3fxUMOOg0CyM2if,2,1,6,2,1,1,1,50,4,,1
R_2eR8nOSMpNimPew,2,2,6,2,6,2,1,47,1,,4
